"name","metascore","console","userscore","date","date.formatted","Genre","Publisher"
"25 to Life",39,"PS2",49,"Jan 17, 2006",2006-01-17,"Shooter","Eidos Interactive"
"2Dark",65,"XONE",78,"Mar 10, 2017",2017-03-10,NA,NA
"2Dark",68,"PC",53,"Mar 10, 2017",2017-03-10,NA,NA
"2Dark",54,"PS4",72,"Mar 10, 2017",2017-03-10,NA,NA
"3 on 3 NHL Arcade",66,"PS3",71,"Feb 5, 2009",2009-02-05,NA,NA
"3 on 3 NHL Arcade",64,"X360",72,"Feb 11, 2009",2009-02-11,NA,NA
"300: March to Glory",55,"PSP",73,"Feb 27, 2007",2007-02-27,"Action","Warner Bros. Interactive Entertainment"
"39 Days to Mars",71,"PC",46,"Apr 25, 2018",2018-04-25,NA,NA
"3D After Burner II",81,"3DS",82,"Jan 15, 2015",2015-01-15,NA,NA
"3D Classics: Kid Icarus",77,"3DS",73,"Mar 23, 2012",2012-03-23,NA,NA
"3D Classics: Kirby's Adventure",77,"3DS",79,"Nov 17, 2011",2011-11-17,NA,NA
"3D Classics: TwinBee",68,"3DS",75,"Sep 22, 2011",2011-09-22,NA,NA
"3D Classics: Urban Champion",37,"3DS",58,"Aug 18, 2011",2011-08-18,NA,NA
"3D Classics: Xevious",56,"3DS",58,"Jul 21, 2011",2011-07-21,NA,NA
"3D Dot Game Heroes",77,"PS3",80,"May 11, 2010",2010-05-11,"Role-Playing","SouthPeak Games"
"3D Fantasy Zone II W",81,"3DS",70,"Apr 16, 2015",2015-04-16,NA,NA
"3D Gunstar Heroes",89,"3DS",79,"Aug 20, 2015",2015-08-20,NA,NA
"3D Out Run",87,"3DS",83,"Mar 12, 2015",2015-03-12,NA,NA
"3D Sonic the Hedgehog 2",87,"3DS",84,"Oct 8, 2015",2015-10-08,NA,NA
"3D Streets of Rage II",89,"3DS",74,"Jul 23, 2015",2015-07-23,NA,NA
"3D Thunder Blade",74,"3DS",71,"May 14, 2015",2015-05-14,NA,NA
"3D Ultra MiniGolf Adventures",66,"X360",61,"Apr 18, 2007",2007-04-18,NA,NA
"428: Shibuya Scramble",84,"PS4",79,"Sep 4, 2018",2018-09-04,NA,NA
"4PM",41,"PC",42,"Jul 9, 2014",2014-07-09,NA,NA
"4x4 EVO 2",56,"GC",NA,"Sep 9, 2002",2002-09-09,"Racing","Gathering of Developers"
"4x4 EVO 2",56,"GC",NA,"Sep 9, 2002",2002-09-09,"Racing","Vivendi Games"
"4x4 EVO 2",69,"PC",74,"Oct 30, 2001",2001-10-30,"Racing","Gathering of Developers"
"4x4 EVO 2",69,"PC",74,"Oct 30, 2001",2001-10-30,"Racing","Vivendi Games"
"4x4 EVO 2",59,"XBOX",62,"Nov 14, 2001",2001-11-14,"Racing","Gathering of Developers"
"4x4 EVO 2",59,"XBOX",62,"Nov 14, 2001",2001-11-14,"Racing","Vivendi Games"
"4x4 Evolution",73,"PC",64,"Oct 29, 2000",2000-10-29,"Racing","Gathering of Developers"
"4x4 Evolution",64,"PS2",NA,"Feb 26, 2001",2001-02-26,"Racing","Gathering of Developers"
"4x4 Evolution",74,"DC",74,"Oct 30, 2000",2000-10-30,"Racing","Gathering of Developers"
"50 Cent: Blood on the Sand",71,"X360",63,"Feb 24, 2009",2009-02-24,"Shooter","THQ"
"50 Cent: Blood on the Sand",71,"X360",63,"Feb 24, 2009",2009-02-24,"Shooter","THQ"
"50 Cent: Blood on the Sand",72,"PS3",70,"Feb 24, 2009",2009-02-24,"Shooter","THQ"
"50 Cent: Blood on the Sand",72,"PS3",70,"Feb 24, 2009",2009-02-24,"Shooter","THQ"
"50 Cent: Bulletproof",47,"PS2",65,"Nov 17, 2005",2005-11-17,"Action","Vivendi Games"
"50 Cent: Bulletproof",47,"PS2",65,"Nov 17, 2005",2005-11-17,"Action","Vivendi Games"
"50 Cent: Bulletproof",47,"PS2",65,"Nov 17, 2005",2005-11-17,"Action","Vivendi Games"
"50 Cent: Bulletproof",50,"XBOX",55,"Nov 17, 2005",2005-11-17,"Action","Vivendi Games"
"50 Cent: Bulletproof",50,"XBOX",55,"Nov 17, 2005",2005-11-17,"Action","Vivendi Games"
"50 Cent: Bulletproof",50,"XBOX",55,"Nov 17, 2005",2005-11-17,"Action","Vivendi Games"
"50 Cent: Bulletproof G Unit Edition",52,"PSP",45,"Aug 29, 2006",2006-08-29,NA,NA
"7 Days to Die",45,"PS4",58,"Jun 28, 2016",2016-06-28,"Action","Telltale Games"
"7 Days to Die",45,"PS4",58,"Jun 28, 2016",2016-06-28,"Action","Telltale Games"
"7 Days to Die",35,"XONE",54,"Jun 28, 2016",2016-06-28,"Action","Telltale Games"
"7 Days to Die",35,"XONE",54,"Jun 28, 2016",2016-06-28,"Action","Telltale Games"
"7 Wonders of the Ancient World",60,"DS",83,"Sep 17, 2007",2007-09-17,"Puzzle","Mumbo Jumbo"
"7 Wonders of the Ancient World",60,"DS",83,"Sep 17, 2007",2007-09-17,"Puzzle","Funsta"
"7 Wonders of the Ancient World",51,"PSP",NA,"Apr 23, 2007",2007-04-23,"Puzzle","Mumbo Jumbo"
"7 Wonders of the Ancient World",51,"PSP",NA,"Apr 23, 2007",2007-04-23,"Puzzle","Funsta"
"7554",41,"PC",48,"Jul 20, 2012",2012-07-20,NA,NA
"7th Dragon III Code: VFD",76,"3DS",79,"Jul 12, 2016",2016-07-12,"Role-Playing","Sega"
"8-Bit Adventure Anthology: Volume One",71,"PS4",NA,"Oct 31, 2017",2017-10-31,NA,NA
"8-Bit Armies",69,"PC",73,"Apr 22, 2016",2016-04-22,NA,NA
"80 Days 2005",58,"PC",75,"Dec 12, 2005",2005-12-12,NA,NA
"80 Days 2015",84,"PC",69,"Sep 29, 2015",2015-09-29,NA,NA
